specialite;ghm;libelle_ghm
CH.ORTHO.ET TRAUMATO;01C14J;Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire
CH.ORTHO.ET TRAUMATO;01C15J;Libérations du médian au canal carpien, en ambulatoire
CH.ORTHO.ET TRAUMATO;05C13J;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C241;Prothèses de genou, niveau 1
CH.ORTHO.ET TRAUMATO;08C251;Prothèses d'épaule, niveau 1
CH.ORTHO.ET TRAUMATO;08C271;Autres interventions sur le rachis, niveau 1
CH.ORTHO.ET TRAUMATO;08C32J;Interventions sur la jambe, âge supérieur à 17 ans, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C331;Interventions sur la cheville et l'arrière-pied à l'exception des fractures, niveau 1
CH.ORTHO.ET TRAUMATO;08C34J;Interventions sur les ligaments croisés sous arthroscopie, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C35J;Interventions sur le bras, coude et épaule, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C36J;Interventions sur le pied, âge inférieur à 18 ans, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C37J;Interventions sur le pied, âge supérieur à 17 ans, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C38J;Autres arthroscopies du genou, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C39J;Interventions sur l'avant-bras, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C40J;Arthroscopies d'autres localisations, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C42J;Interventions non mineures sur les tissus mous, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C43J;Interventions non mineures sur la main, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C44J;Autres interventions sur la main, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C45J;Ménisectomie sous arthroscopie, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C46J;Autres interventions sur les tissus mous, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C481;Prothèses de hanche pour des affections autres que des traumatismes récents, niveau 1
CH.ORTHO.ET TRAUMATO;08C501;Interventions sur la hanche et le fémur sauf traumatismes récents, âge supérieur à 17 ans, niveau 1
CH.ORTHO.ET TRAUMATO;08C531;Interventions sur le genou pour traumatismes, niveau 1
CH.ORTHO.ET TRAUMATO;08C54J;Interventions sur le genou pour des affections autres que traumatiques, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C57J;Libérations articulaires du membre inférieur à l'exception de la hanche et du pied, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C58J;Arthroscopies de l'épaule, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C59J;Ténosynovectomies du poignet, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C60J;Interventions sur le poignet autres que les ténosynovectomies, en ambulatoire
CH.ORTHO.ET TRAUMATO;08C62J;Autres interventions pour infections ostéoarticulaires, en ambulatoire
CH.ORTHO.ET TRAUMATO;08K06Z;Autres actes interventionnels sur le rachis, séjours de moins de 2 nuits
CH.ORTHO.ET TRAUMATO;09C34J;Autres interventions de la CMD09, en ambulatoire
CH.ORTHO.ET TRAUMATO;21C04J;Interventions sur la main ou le poignet à la suite de blessures, en ambulatoire
CHIRURGIE VISCERALE;06C091;Appendicectomies non compliquées, niveau 1
